"carat","cut","color","clarity","depth","table","price","x","y","z"
0.3,"Good","G","VS1",63.6,55,605,4.27,4.31,2.73
1.51,"Very Good","H","SI1",63.5,55,8541,7.31,7.22,4.61
0.31,"Ideal","E","VS1",61.4,57,734,4.32,4.37,2.67
0.41,"Ideal","E","VS1",61.8,57,1079,4.76,4.79,2.95
0.81,"Ideal","H","SI1",62.8,57,2482,5.95,5.92,3.73
0.28,"Ideal","E","VVS2",62.4,56,828,4.2,4.16,2.61
0.51,"Fair","D","SI2",66.5,58,1109,4.95,4.89,3.27
1.02,"Ideal","F","VS2",62.7,54,6597,6.5,6.42,4.05
0.57,"Ideal","I","VS1",61.6,56,1355,5.33,5.35,3.29
0.75,"Very Good","E","VS1",61.9,58,3543,5.83,5.86,3.62
1.14,"Premium","E","VVS2",59.7,58,10446,6.91,6.83,4.1
1.02,"Fair","I","SI2",66.2,57,3290,6.34,6.26,4.17
0.77,"Ideal","H","SI1",62.4,56,2875,5.84,5.9,3.66
1.77,"Very Good","G","SI1",63.1,57,11796,7.68,7.63,4.83
0.39,"Premium","I","SI2",61,58,684,4.75,4.7,2.88
0.5,"Very Good","D","SI1",61.6,59,1318,5.12,5.14,3.16
1.03,"Fair","I","SI2",65.3,55,2884,6.32,6.27,4.11
0.33,"Ideal","E","VVS1",61.7,56,1052,4.46,4.42,2.74
0.79,"Premium","G","SI1",61.2,56,3539,6,5.96,3.66
0.41,"Ideal","F","SI1",62.8,57,969,4.73,4.69,2.96
0.41,"Ideal","E","SI2",61.9,57,683,4.76,4.8,2.96
1.06,"Very Good","F","SI1",59.6,60,5491,6.61,6.68,3.96
1.32,"Premium","F","SI1",59.7,60,7683,7.11,7.16,4.26
0.66,"Very Good","H","VVS1",61.9,59,2323,5.59,5.65,3.48
0.72,"Ideal","G","VS1",61.7,56,3478,5.75,5.78,3.56
1.01,"Very Good","E","VVS2",60.2,60,9076,6.46,6.5,3.9
1.01,"Premium","H","SI2",61.5,60,4242,6.4,6.34,3.92
0.7,"Very Good","D","VS2",60.7,60,2913,5.72,5.74,3.48
1.09,"Very Good","E","SI1",62.5,57,5539,6.55,6.61,4.11
0.26,"Premium","E","VVS2",58.9,61,724,4.19,4.16,2.46
0.32,"Ideal","I","VS1",62.1,57,471,4.37,4.42,2.73
0.33,"Ideal","G","IF",61,56,925,4.48,4.51,2.74
0.56,"Premium","G","VS1",62.4,58,1915,5.3,5.22,3.28
0.71,"Premium","F","SI1",62.7,58,2381,5.74,5.68,3.58
1.21,"Ideal","F","VS2",61.5,56,8348,6.87,6.83,4.21
0.39,"Good","G","VS2",63.7,53,734,4.62,4.67,2.96
1.01,"Very Good","E","VS2",62.9,60,6714,6.36,6.4,4.01
0.26,"Ideal","D","VS1",62,55,452,4.1,4.12,2.55
1.27,"Premium","F","VVS1",62.5,56,13320,6.99,6.93,4.35
1.76,"Ideal","H","SI1",62.2,56,9974,7.73,7.7,4.8
0.33,"Ideal","D","VS2",62.1,54,1002,4.46,4.43,2.76
0.7,"Ideal","H","VS2",63,55,2536,5.7,5.67,3.58
0.53,"Premium","E","VS2",59.6,58,2061,5.36,5.32,3.18
0.34,"Ideal","D","SI1",60.6,56,803,4.54,4.51,2.74
0.42,"Ideal","D","SI1",61.5,56,1040,4.85,4.81,2.97
1.02,"Ideal","F","VS2",61.5,57,6306,6.48,6.5,3.99
1.23,"Ideal","F","VVS2",61.8,56,11141,6.89,6.84,4.24
0.37,"Ideal","I","VS2",61.5,56,537,4.6,4.63,2.84
0.46,"Very Good","I","VVS1",62.9,57,1163,4.91,4.95,3.1
0.31,"Premium","G","VS1",59.9,59,770,4.44,4.41,2.65
0.36,"Ideal","E","SI1",62.1,56,810,4.59,4.56,2.84
1.5,"Ideal","H","VS2",62.3,56,10920,7.34,7.29,4.56
0.59,"Ideal","F","SI2",61.8,55,1265,5.41,5.44,3.35
1.48,"Very Good","H","SI2",62.3,58,7244,7.18,7.23,4.49
0.41,"Premium","G","VS1",62.6,58,899,4.7,4.75,2.96
0.3,"Very Good","F","VS2",62.8,58,605,4.24,4.29,2.68
2.08,"Good","I","SI2",63.8,58,14084,8.1,8.02,5.14
0.4,"Premium","G","VVS2",62,58,982,4.68,4.74,2.92
0.7,"Premium","E","VVS2",61,59,3389,5.64,5.71,3.5
1.17,"Very Good","J","I1",60.2,61,2774,6.83,6.9,4.13
0.87,"Ideal","G","VS2",61.4,55,4553,6.15,6.17,3.78
0.42,"Premium","G","VVS1",60.2,59,1235,4.84,4.82,2.91
0.7,"Fair","I","SI1",62,67,1848,5.54,5.5,3.42
0.41,"Ideal","I","VVS2",62.4,57,843,4.68,4.75,2.94
0.41,"Ideal","E","VS1",62,54,1079,4.76,4.79,2.96
0.71,"Very Good","E","SI2",63.3,57,2225,5.65,5.69,3.59
1.24,"Premium","F","VVS2",62,55,11231,6.95,6.88,4.29
1.5,"Fair","G","VS2",64.4,56,12787,7.16,7.09,4.59
0.79,"Premium","E","SI2",61,58,2868,5.96,5.9,3.62
1.05,"Ideal","G","SI1",61.9,56,5361,6.51,6.55,4.04
1.15,"Very Good","G","VVS2",58.4,59,8349,6.84,6.92,4.02
0.7,"Ideal","H","VS2",62.4,58,2429,5.67,5.71,3.55
1.29,"Very Good","J","SI2",63.5,57,3884,6.89,6.87,4.37
1.07,"Ideal","H","SI1",61.1,56,4955,6.63,6.6,4.04
0.89,"Good","F","SI1",64.3,55,3663,6.12,6.01,3.9
1.33,"Fair","E","SI2",65,57,4916,6.93,6.89,4.49
1.07,"Premium","G","SI1",61,58,5091,6.66,6.59,4.04
1,"Premium","F","SI1",61.8,58,5151,6.44,6.37,3.96
0.31,"Ideal","G","VVS1",62.4,56,772,4.33,4.36,2.71
0.4,"Very Good","F","SI1",62.1,60,756,4.66,4.7,2.91
0.34,"Premium","F","VS2",62.9,58,880,4.46,4.44,2.8
0.32,"Ideal","E","VS2",61.8,54,768,4.43,4.4,2.73
2.19,"Ideal","H","SI1",60.6,57,18475,8.39,8.35,5.07
